title,year,genre,rating,votes,runtime_minutes
Dune Part Two,2024,Sci-Fi,8.9,920000,166
Deadpool & Wolverine,2024,Action,8.2,610000,127
Inside Out 2,2024,Animation,8.5,740000,96
Furiosa A Mad Max Saga,2024,Action,8.1,450000,148
Kingdom of the Planet of the Apes,2024,Sci-Fi,7.6,390000,145
Civil War,2024,Drama,7.4,210000,109
Godzilla x Kong The New Empire,2024,Action,7.3,520000,115
The Fall Guy,2024,Action,7.5,360000,126
Kung Fu Panda 4,2024,Animation,7.2,280000,94
A Quiet Place Day One,2024,Horror,7.8,310000,100
